Process Name,PID,Memory (MB),Deallocated Time
cmd.exe,4220,3.94,12:49:48 PM
WMIC.exe,17788,13.95,12:49:48 PM
cmd.exe,14588,3.94,12:49:53 PM
WMIC.exe,21628,13.93,12:49:53 PM
cmd.exe,8784,3.95,12:49:58 PM
WMIC.exe,20868,13.93,12:49:58 PM
cmd.exe,22416,3.94,12:50:03 PM
WMIC.exe,11616,13.96,12:50:03 PM
cmd.exe,16232,3.95,12:50:08 PM
WMIC.exe,19952,13.93,12:50:08 PM
cmd.exe,20628,3.94,12:50:13 PM
WMIC.exe,8296,13.93,12:50:13 PM
cmd.exe,19968,3.95,12:50:18 PM
WMIC.exe,6076,13.95,12:50:18 PM
cmd.exe,5524,3.94,12:50:23 PM
WMIC.exe,3984,13.95,12:50:23 PM
cmd.exe,21644,3.95,12:50:28 PM
WMIC.exe,21596,13.95,12:50:28 PM
cmd.exe,11612,3.94,12:50:33 PM
WMIC.exe,17612,13.94,12:50:33 PM
cmd.exe,19028,3.94,12:50:39 PM
WMIC.exe,13496,13.94,12:50:39 PM
