Process Name,PID,Memory (MB),Timestamp,Status
System Idle Process,0,0.01,12:11:53 PM,Running
System,4,6.96,12:11:53 PM,Running
Secure System,140,46.72,12:11:53 PM,Running
Registry,172,64.34,12:11:53 PM,Running
smss.exe,768,1.31,12:11:53 PM,Running
csrss.exe,980,5.48,12:11:53 PM,Running
wininit.exe,784,6.95,12:11:53 PM,Running
csrss.exe,964,6.43,12:11:53 PM,Running
services.exe,1052,10.96,12:11:53 PM,Running
winlogon.exe,1084,10.70,12:11:53 PM,Running
LsaIso.exe,1140,3.77,12:11:53 PM,Running
lsass.exe,1156,30.53,12:11:53 PM,Running
svchost.exe,1272,32.47,12:11:53 PM,Running
fontdrvhost.exe,1292,7.06,12:11:53 PM,Running
fontdrvhost.exe,1300,3.95,12:11:53 PM,Running
WUDFHost.exe,1404,8.83,12:11:53 PM,Running
svchost.exe,1428,16.13,12:11:53 PM,Running
svchost.exe,1488,11.95,12:11:53 PM,Running
WUDFHost.exe,1568,6.08,12:11:53 PM,Running
svchost.exe,1624,9.96,12:11:53 PM,Running
svchost.exe,1632,5.41,12:11:53 PM,Running
svchost.exe,1644,5.40,12:11:53 PM,Running
svchost.exe,1652,10.94,12:11:53 PM,Running
svchost.exe,1728,10.76,12:11:53 PM,Running
WUDFHost.exe,1828,11.02,12:11:53 PM,Running
svchost.exe,1852,8.66,12:11:53 PM,Running
svchost.exe,1860,11.00,12:11:53 PM,Running
svchost.exe,1868,9.84,12:11:53 PM,Running
IntelCpHDCPSvc.exe,1968,6.09,12:11:53 PM,Running
svchost.exe,1976,9.29,12:11:53 PM,Running
svchost.exe,2020,5.88,12:11:53 PM,Running
svchost.exe,1224,7.91,12:11:53 PM,Running
svchost.exe,1124,27.68,12:11:53 PM,Running
svchost.exe,1176,8.64,12:11:53 PM,Running
dwm.exe,2160,187.21,12:11:53 PM,Running
svchost.exe,2260,7.82,12:11:53 PM,Running
svchost.exe,2364,7.85,12:11:53 PM,Running
svchost.exe,2420,8.36,12:11:53 PM,Running
svchost.exe,2504,11.69,12:11:53 PM,Running
svchost.exe,2624,18.08,12:11:53 PM,Running
svchost.exe,2728,6.31,12:11:53 PM,Running
svchost.exe,2772,11.63,12:11:53 PM,Running
svchost.exe,2784,10.52,12:11:53 PM,Running
svchost.exe,2876,10.97,12:11:53 PM,Running
WUDFHost.exe,2912,19.20,12:11:53 PM,Running
svchost.exe,3028,25.75,12:11:53 PM,Running
svchost.exe,2400,6.82,12:11:53 PM,Running
svchost.exe,2440,12.29,12:11:53 PM,Running
svchost.exe,2484,5.92,12:11:53 PM,Running
svchost.exe,2460,8.06,12:11:53 PM,Running
Memory Compression,3180,0.00,12:11:53 PM,Running
svchost.exe,3280,8.54,12:11:53 PM,Running
svchost.exe,3332,8.82,12:11:53 PM,Running
svchost.exe,3340,7.96,12:11:53 PM,Running
WUDFHost.exe,3440,13.63,12:11:53 PM,Running
svchost.exe,3480,24.80,12:11:53 PM,Running
WUDFHost.exe,3532,6.36,12:11:53 PM,Running
WUDFHost.exe,3584,6.75,12:11:53 PM,Running
svchost.exe,3628,15.72,12:11:53 PM,Running
svchost.exe,3656,6.47,12:11:53 PM,Running
audiodg.exe,3836,17.46,12:11:53 PM,Running
svchost.exe,3936,7.29,12:11:53 PM,Running
svchost.exe,3988,21.36,12:11:53 PM,Running
svchost.exe,4012,13.13,12:11:53 PM,Running
svchost.exe,4072,7.54,12:11:53 PM,Running
svchost.exe,3008,24.06,12:11:53 PM,Running
wlanext.exe,4132,7.25,12:11:53 PM,Running
spoolsv.exe,4140,16.32,12:11:53 PM,Running
conhost.exe,4160,9.73,12:11:53 PM,Running
svchost.exe,4180,77.88,12:11:53 PM,Running
svchost.exe,4348,7.11,12:11:53 PM,Running
svchost.exe,4396,8.43,12:11:53 PM,Running
DAX3API.exe,4484,17.96,12:11:53 PM,Running
AdobeUpdateService.exe,4492,14.46,12:11:53 PM,Running
svchost.exe,4504,55.03,12:11:53 PM,Running
OneApp.IGCC.WinService.exe,4520,40.71,12:11:53 PM,Running
svchost.exe,4512,16.59,12:11:53 PM,Running
svchost.exe,4528,15.97,12:11:53 PM,Running
FNPLicensingService64.exe,4540,9.36,12:11:53 PM,Running
FMService64.exe,4556,8.27,12:11:53 PM,Running
ipfsvc.exe,4568,6.38,12:11:53 PM,Running
Lenovo.Modern.ImController.exe,4576,43.52,12:11:53 PM,Running
AdskLicensingService.exe,4584,18.78,12:11:53 PM,Running
svchost.exe,4592,8.69,12:11:53 PM,Running
IntelAudioService.exe,4636,49.04,12:11:53 PM,Running
ipf_uf.exe,4644,6.86,12:11:53 PM,Running
svchost.exe,4672,11.50,12:11:53 PM,Running
AdskAccessServiceHost.exe,4684,28.45,12:11:53 PM,Running
OfficeClickToRun.exe,4696,56.20,12:11:53 PM,Running
jhi_service.exe,4776,6.89,12:11:53 PM,Running
LenovoUtilityService.exe,4836,17.75,12:11:53 PM,Running
LenovoVantageService.exe,4848,71.45,12:11:53 PM,Running
VoiceAssistantService.exe,4948,51.11,12:11:53 PM,Running
LNBITSSvc.exe,4964,18.44,12:11:53 PM,Running
LsaRpcServer.exe,4972,78.92,12:11:53 PM,Running
mc-fw-host.exe,5016,112.76,12:11:53 PM,Running
MpDefenderCoreService.exe,5044,20.87,12:11:53 PM,Running
SafeExamBrowser.Service.exe,5064,30.68,12:11:53 PM,Running
svchost.exe,5268,6.07,12:11:53 PM,Running
SafeExamBrowser.Service.exe,5276,30.76,12:11:53 PM,Running
SmartSense.exe,5288,10.22,12:11:53 PM,Running
turbo_vpn-service.exe,5300,9.20,12:11:53 PM,Running
UDClientService.exe,5308,51.88,12:11:53 PM,Running
SmartAppearanceSVC.exe,5336,15.41,12:11:53 PM,Running
SenaryAudioApp.Svc.exe,5344,65.70,12:11:53 PM,Running
