Process Name,PID,Memory (MB),Timestamp,Status
System Idle Process,0,0.01,11:04:54 AM,Running
System,4,6.04,11:04:54 AM,Running
Secure System,140,46.85,11:04:54 AM,Running
Registry,172,64.67,11:04:54 AM,Running
smss.exe,764,1.29,11:04:54 AM,Running
csrss.exe,976,5.48,11:04:54 AM,Running
wininit.exe,788,6.96,11:04:54 AM,Running
csrss.exe,944,6.46,11:04:54 AM,Running
services.exe,1048,11.02,11:04:54 AM,Running
winlogon.exe,1080,10.72,11:04:54 AM,Running
LsaIso.exe,1136,3.64,11:04:54 AM,Running
lsass.exe,1152,30.16,11:04:54 AM,Running
svchost.exe,1268,32.47,11:04:54 AM,Running
fontdrvhost.exe,1296,7.05,11:04:54 AM,Running
fontdrvhost.exe,1304,3.96,11:04:54 AM,Running
WUDFHost.exe,1376,8.81,11:04:54 AM,Running
svchost.exe,1440,15.45,11:04:54 AM,Running
svchost.exe,1484,11.98,11:04:54 AM,Running
WUDFHost.exe,1552,6.07,11:04:54 AM,Running
svchost.exe,1636,5.41,11:04:54 AM,Running
svchost.exe,1644,10.04,11:04:54 AM,Running
svchost.exe,1656,5.41,11:04:54 AM,Running
svchost.exe,1664,10.49,11:04:54 AM,Running
svchost.exe,1744,10.68,11:04:54 AM,Running
WUDFHost.exe,1776,10.90,11:04:54 AM,Running
svchost.exe,1820,11.04,11:04:54 AM,Running
svchost.exe,1828,9.74,11:04:54 AM,Running
svchost.exe,1952,8.39,11:04:54 AM,Running
IntelCpHDCPSvc.exe,1960,6.07,11:04:54 AM,Running
svchost.exe,1976,9.38,11:04:54 AM,Running
svchost.exe,2024,5.88,11:04:54 AM,Running
svchost.exe,2032,27.86,11:04:54 AM,Running
svchost.exe,2152,8.62,11:04:54 AM,Running
svchost.exe,2160,7.82,11:04:54 AM,Running
dwm.exe,2380,172.21,11:04:54 AM,Running
svchost.exe,2440,11.78,11:04:54 AM,Running
svchost.exe,2476,7.80,11:04:54 AM,Running
svchost.exe,2504,8.38,11:04:54 AM,Running
WUDFHost.exe,2708,19.80,11:04:54 AM,Running
svchost.exe,2744,17.82,11:04:54 AM,Running
svchost.exe,2816,6.35,11:04:54 AM,Running
svchost.exe,2844,10.50,11:04:54 AM,Running
svchost.exe,2856,11.61,11:04:54 AM,Running
svchost.exe,2932,11.05,11:04:54 AM,Running
svchost.exe,2964,26.16,11:04:54 AM,Running
svchost.exe,1720,5.96,11:04:54 AM,Running
svchost.exe,2368,12.37,11:04:54 AM,Running
svchost.exe,3068,8.05,11:04:54 AM,Running
svchost.exe,3048,6.82,11:04:54 AM,Running
Memory Compression,3168,0.00,11:04:54 AM,Running
svchost.exe,3312,8.52,11:04:54 AM,Running
svchost.exe,3352,8.84,11:04:54 AM,Running
svchost.exe,3360,8.07,11:04:54 AM,Running
WUDFHost.exe,3380,13.80,11:04:54 AM,Running
WUDFHost.exe,3496,6.35,11:04:54 AM,Running
svchost.exe,3532,24.28,11:04:54 AM,Running
WUDFHost.exe,3564,6.73,11:04:54 AM,Running
svchost.exe,3616,15.76,11:04:54 AM,Running
svchost.exe,3644,7.20,11:04:54 AM,Running
audiodg.exe,3848,17.66,11:04:54 AM,Running
svchost.exe,3952,7.30,11:04:54 AM,Running
svchost.exe,3996,21.17,11:04:54 AM,Running
svchost.exe,4020,13.13,11:04:54 AM,Running
svchost.exe,4080,7.56,11:04:54 AM,Running
svchost.exe,3404,24.02,11:04:54 AM,Running
wlanext.exe,4152,7.25,11:04:54 AM,Running
spoolsv.exe,4172,16.18,11:04:54 AM,Running
conhost.exe,4180,9.74,11:04:54 AM,Running
svchost.exe,4228,77.65,11:04:54 AM,Running
svchost.exe,4332,7.12,11:04:54 AM,Running
svchost.exe,4372,8.38,11:04:54 AM,Running
FMService64.exe,4520,8.21,11:04:54 AM,Running
AdobeUpdateService.exe,4512,12.29,11:04:54 AM,Running
DAX3API.exe,4528,17.96,11:04:54 AM,Running
AdskLicensingService.exe,4536,18.24,11:04:54 AM,Running
OneApp.IGCC.WinService.exe,4544,40.59,11:04:54 AM,Running
FNPLicensingService64.exe,4552,9.34,11:04:54 AM,Running
Lenovo.Modern.ImController.exe,4560,46.99,11:04:54 AM,Running
ipfsvc.exe,4568,6.35,11:04:54 AM,Running
svchost.exe,4576,16.42,11:04:54 AM,Running
svchost.exe,4596,55.11,11:04:54 AM,Running
svchost.exe,4612,8.65,11:04:54 AM,Running
OfficeClickToRun.exe,4620,54.57,11:04:54 AM,Running
AdskAccessServiceHost.exe,4672,27.59,11:04:54 AM,Running
IntelAudioService.exe,4692,48.99,11:04:54 AM,Running
svchost.exe,4716,15.91,11:04:54 AM,Running
svchost.exe,4764,11.34,11:04:54 AM,Running
ipf_uf.exe,4772,6.89,11:04:54 AM,Running
jhi_service.exe,4796,6.88,11:04:54 AM,Running
